,AdaBoostClassifier,GradientBoostingClassifier,RandomForestClassifier,ExtraTreesClassifier,SVC,OrderedModel
0,0.512,0.584,0.576,0.608,0.368,0.504
1,0.472,0.6,0.616,0.552,0.408,0.496
2,0.528,0.544,0.584,0.576,0.48,0.496
3,0.504,0.576,0.6,0.56,0.352,0.496
4,0.488,0.552,0.6,0.6,0.384,0.496
5,0.4,0.528,0.544,0.512,0.456,0.496
6,0.504,0.552,0.544,0.536,0.472,0.528
7,0.552,0.584,0.592,0.552,0.44,0.504
8,0.568,0.656,0.672,0.632,0.4,0.512
9,0.448,0.536,0.592,0.576,0.464,0.496
10,0.512,0.512,0.56,0.544,0.432,0.48
11,0.392,0.544,0.592,0.552,0.456,0.496
12,0.424,0.568,0.576,0.56,0.464,0.48
13,0.48,0.584,0.6,0.592,0.36,0.496
14,0.424,0.544,0.584,0.528,0.408,0.488
15,0.504,0.568,0.568,0.6,0.464,0.488
16,0.432,0.592,0.616,0.624,0.544,0.496
17,0.544,0.592,0.568,0.584,0.52,0.496
18,0.52,0.576,0.592,0.632,0.424,0.496
19,0.48,0.496,0.536,0.56,0.36,0.496
20,0.568,0.592,0.576,0.552,0.376,0.464
21,0.464,0.584,0.648,0.592,0.504,0.496
22,0.44,0.552,0.584,0.56,0.48,0.496
23,0.552,0.584,0.592,0.584,0.448,0.496
24,0.504,0.624,0.64,0.648,0.504,0.496
25,0.6,0.584,0.632,0.616,0.448,0.504
26,0.48,0.592,0.568,0.568,0.352,0.496
27,0.528,0.6,0.608,0.6,0.544,0.504
28,0.568,0.624,0.64,0.616,0.4,0.496
29,0.504,0.536,0.592,0.592,0.456,0.488
30,0.584,0.544,0.6,0.584,0.464,0.488
31,0.416,0.552,0.544,0.584,0.48,0.488
32,0.472,0.536,0.592,0.6,0.48,0.488
33,0.488,0.536,0.552,0.552,0.496,0.504
34,0.472,0.568,0.544,0.56,0.448,0.528
35,0.4,0.544,0.632,0.608,0.464,0.488
36,0.488,0.568,0.552,0.576,0.44,0.48
37,0.52,0.544,0.568,0.592,0.448,0.504
38,0.536,0.616,0.584,0.576,0.408,0.488
39,0.456,0.56,0.56,0.568,0.392,0.496
40,0.52,0.584,0.576,0.584,0.44,0.488
41,0.48,0.496,0.56,0.576,0.432,0.488
42,0.552,0.608,0.6,0.6,0.44,0.504
43,0.512,0.56,0.576,0.608,0.44,0.496
44,0.408,0.488,0.528,0.552,0.472,0.496
45,0.52,0.576,0.632,0.64,0.408,0.488
46,0.432,0.584,0.576,0.584,0.408,0.48
47,0.488,0.504,0.56,0.528,0.432,0.48
48,0.488,0.584,0.624,0.608,0.408,0.496
49,0.52,0.56,0.632,0.576,0.384,0.496
