,AdaBoostClassifier,GradientBoostingClassifier,RandomForestClassifier,ExtraTreesClassifier,SupervisedDBNClassification,SVC
0,0.792,0.816,0.808,0.8,0.808,0.808
1,0.784,0.816,0.824,0.808,0.816,0.816
2,0.808,0.856,0.848,0.856,0.8,0.8
3,0.816,0.84,0.84,0.864,0.808,0.808
4,0.808,0.84,0.84,0.848,0.736,0.736
5,0.84,0.864,0.856,0.856,0.808,0.808
6,0.824,0.832,0.832,0.84,0.792,0.792
7,0.8,0.824,0.864,0.848,0.784,0.784
8,0.8,0.832,0.824,0.816,0.784,0.784
9,0.752,0.768,0.768,0.76,0.728,0.728
10,0.752,0.8,0.808,0.808,0.72,0.72
11,0.84,0.864,0.872,0.848,0.784,0.784
12,0.768,0.824,0.848,0.848,0.768,0.768
13,0.784,0.816,0.832,0.816,0.736,0.736
14,0.776,0.824,0.84,0.824,0.8,0.8
15,0.76,0.816,0.84,0.848,0.752,0.752
16,0.752,0.792,0.776,0.792,0.768,0.768
17,0.808,0.824,0.84,0.864,0.8,0.8
18,0.832,0.816,0.816,0.832,0.744,0.744
19,0.808,0.832,0.824,0.848,0.784,0.784
20,0.752,0.752,0.784,0.792,0.76,0.76
21,0.768,0.84,0.84,0.84,0.776,0.776
22,0.76,0.776,0.824,0.808,0.808,0.808
23,0.816,0.816,0.808,0.84,0.784,0.784
24,0.76,0.808,0.832,0.816,0.76,0.76
25,0.84,0.8,0.848,0.84,0.792,0.792
26,0.816,0.832,0.84,0.84,0.784,0.784
27,0.736,0.768,0.768,0.8,0.728,0.728
28,0.864,0.824,0.864,0.864,0.808,0.808
29,0.856,0.84,0.84,0.84,0.792,0.792
30,0.8,0.808,0.824,0.84,0.816,0.816
31,0.824,0.856,0.888,0.936,0.832,0.832
32,0.832,0.84,0.88,0.888,0.824,0.824
33,0.832,0.848,0.848,0.864,0.832,0.832
34,0.808,0.8,0.832,0.824,0.752,0.752
35,0.832,0.872,0.856,0.88,0.8,0.8
36,0.808,0.808,0.808,0.824,0.76,0.76
37,0.744,0.784,0.752,0.776,0.768,0.768
38,0.808,0.792,0.792,0.792,0.736,0.736
39,0.744,0.848,0.84,0.848,0.808,0.808
40,0.792,0.784,0.808,0.824,0.752,0.752
41,0.824,0.832,0.84,0.864,0.8,0.8
42,0.784,0.824,0.816,0.824,0.8,0.8
43,0.808,0.816,0.816,0.824,0.776,0.776
44,0.832,0.832,0.832,0.832,0.792,0.792
45,0.816,0.808,0.848,0.84,0.808,0.808
46,0.84,0.856,0.832,0.808,0.808,0.808
47,0.776,0.8,0.824,0.816,0.784,0.784
48,0.792,0.792,0.792,0.816,0.728,0.728
49,0.784,0.816,0.824,0.848,0.76,0.76
