,AdaBoostClassifier,GradientBoostingClassifier,RandomForestClassifier,ExtraTreesClassifier,SVC,OrderedModel
0,0.624,0.696,0.64,0.696,0.52,0.616
1,0.688,0.704,0.68,0.696,0.568,0.64
2,0.64,0.688,0.72,0.728,0.44,0.632
3,0.672,0.696,0.648,0.696,0.568,0.608
4,0.68,0.736,0.752,0.752,0.504,0.592
5,0.584,0.712,0.688,0.68,0.44,0.632
6,0.696,0.68,0.68,0.68,0.456,0.584
7,0.576,0.656,0.664,0.688,0.6,0.648
8,0.72,0.736,0.688,0.704,0.48,0.632
9,0.664,0.712,0.672,0.704,0.416,0.624
10,0.672,0.704,0.68,0.696,0.552,0.624
11,0.616,0.688,0.712,0.72,0.528,0.64
12,0.592,0.64,0.648,0.672,0.504,0.552
13,0.688,0.728,0.736,0.704,0.6,0.64
14,0.672,0.696,0.632,0.688,0.568,0.632
15,0.632,0.736,0.712,0.688,0.56,0.592
16,0.624,0.696,0.744,0.728,0.496,0.616
17,0.584,0.616,0.632,0.616,0.6,0.64
18,0.64,0.68,0.696,0.672,0.488,0.592
19,0.608,0.712,0.664,0.72,0.568,0.632
20,0.664,0.68,0.688,0.68,0.472,0.632
21,0.632,0.688,0.696,0.72,0.448,0.624
22,0.616,0.712,0.624,0.68,0.424,0.624
23,0.72,0.64,0.68,0.728,0.464,0.64
24,0.664,0.632,0.672,0.68,0.528,0.624
25,0.688,0.744,0.72,0.712,0.568,0.584
26,0.672,0.68,0.704,0.704,0.528,0.632
27,0.672,0.712,0.712,0.744,0.592,0.712
28,0.592,0.688,0.688,0.712,0.544,0.608
29,0.68,0.744,0.736,0.696,0.56,0.672
30,0.688,0.752,0.688,0.688,0.528,0.6
31,0.6,0.712,0.688,0.688,0.48,0.6
32,0.64,0.64,0.616,0.656,0.52,0.576
33,0.656,0.656,0.648,0.696,0.544,0.672
34,0.696,0.688,0.72,0.752,0.376,0.656
35,0.664,0.68,0.72,0.72,0.536,0.624
36,0.64,0.68,0.624,0.664,0.512,0.664
37,0.632,0.672,0.632,0.656,0.56,0.576
38,0.656,0.696,0.704,0.648,0.496,0.64
39,0.56,0.616,0.696,0.68,0.552,0.6
40,0.656,0.704,0.68,0.656,0.576,0.616
41,0.648,0.696,0.696,0.688,0.464,0.648
42,0.72,0.72,0.728,0.736,0.56,0.616
43,0.664,0.72,0.688,0.688,0.48,0.616
44,0.696,0.68,0.672,0.648,0.544,0.632
45,0.688,0.672,0.688,0.672,0.56,0.6
46,0.648,0.712,0.72,0.688,0.632,0.648
47,0.624,0.664,0.624,0.624,0.448,0.632
48,0.672,0.744,0.712,0.704,0.488,0.6
49,0.656,0.704,0.712,0.736,0.528,0.6
