,AdaBoostClassifier,GradientBoostingClassifier,RandomForestClassifier,ExtraTreesClassifier,SVC,OrderedModel
0,0.544,0.616,0.656,0.648,0.576,0.624
1,0.56,0.632,0.688,0.656,0.552,0.6
2,0.64,0.68,0.704,0.704,0.608,0.576
3,0.696,0.68,0.728,0.672,0.56,0.616
4,0.6,0.672,0.72,0.712,0.528,0.608
5,0.624,0.624,0.664,0.672,0.52,0.64
6,0.544,0.608,0.616,0.656,0.552,0.688
7,0.592,0.624,0.696,0.712,0.512,0.568
8,0.592,0.664,0.664,0.656,0.536,0.632
9,0.664,0.696,0.672,0.696,0.624,0.592
10,0.576,0.648,0.696,0.672,0.624,0.648
11,0.648,0.648,0.68,0.656,0.536,0.64
12,0.632,0.632,0.672,0.664,0.544,0.584
13,0.624,0.616,0.696,0.656,0.52,0.544
14,0.6,0.64,0.656,0.608,0.536,0.64
15,0.632,0.688,0.68,0.664,0.544,0.568
16,0.6,0.624,0.696,0.736,0.576,0.656
17,0.552,0.632,0.744,0.704,0.552,0.592
18,0.632,0.696,0.688,0.704,0.488,0.6
19,0.624,0.648,0.648,0.64,0.536,0.632
20,0.608,0.68,0.648,0.648,0.584,0.576
21,0.608,0.624,0.632,0.584,0.536,0.608
22,0.632,0.656,0.704,0.648,0.608,0.664
23,0.696,0.696,0.704,0.664,0.52,0.608
24,0.56,0.68,0.72,0.704,0.616,0.656
25,0.632,0.688,0.728,0.672,0.624,0.704
26,0.592,0.64,0.688,0.632,0.432,0.536
27,0.568,0.648,0.664,0.632,0.616,0.512
28,0.624,0.664,0.712,0.688,0.544,0.576
29,0.624,0.696,0.68,0.632,0.536,0.616
30,0.664,0.744,0.712,0.68,0.544,0.608
31,0.584,0.688,0.72,0.696,0.568,0.624
32,0.608,0.664,0.696,0.688,0.552,0.56
33,0.608,0.648,0.672,0.648,0.52,0.632
34,0.648,0.664,0.648,0.696,0.584,0.608
35,0.672,0.664,0.76,0.672,0.52,0.664
36,0.64,0.672,0.696,0.632,0.624,0.6
37,0.56,0.608,0.64,0.624,0.592,0.6
38,0.688,0.68,0.704,0.712,0.608,0.608
39,0.568,0.576,0.632,0.632,0.48,0.624
40,0.632,0.696,0.728,0.704,0.552,0.568
41,0.608,0.72,0.664,0.688,0.624,0.568
42,0.688,0.656,0.696,0.712,0.536,0.56
43,0.608,0.696,0.672,0.648,0.552,0.64
44,0.616,0.672,0.648,0.672,0.552,0.632
45,0.552,0.664,0.696,0.648,0.536,0.568
46,0.624,0.608,0.656,0.64,0.6,0.56
47,0.584,0.688,0.736,0.688,0.56,0.632
48,0.672,0.76,0.744,0.696,0.52,0.632
49,0.512,0.648,0.688,0.688,0.56,0.608
