,AdaBoostRegressor,GradientBoostingRegressor,RandomForestRegressor,ExtraTreesRegressor,SVR
0,0.784,0.784,0.816,0.824,0.784
1,0.8,0.776,0.792,0.8,0.784
2,0.856,0.848,0.848,0.856,0.784
3,0.768,0.832,0.848,0.88,0.784
4,0.776,0.816,0.824,0.808,0.784
5,0.816,0.792,0.8,0.768,0.784
6,0.824,0.792,0.832,0.816,0.784
7,0.808,0.824,0.824,0.848,0.784
8,0.84,0.832,0.856,0.816,0.784
9,0.84,0.808,0.84,0.824,0.784
10,0.824,0.808,0.84,0.824,0.784
11,0.808,0.816,0.84,0.8,0.784
12,0.816,0.808,0.824,0.832,0.784
13,0.816,0.8,0.832,0.84,0.784
14,0.76,0.856,0.848,0.8,0.784
15,0.768,0.744,0.848,0.784,0.784
16,0.784,0.824,0.816,0.792,0.784
17,0.816,0.84,0.872,0.816,0.784
18,0.888,0.888,0.888,0.864,0.784
19,0.816,0.816,0.84,0.832,0.784
20,0.808,0.824,0.8,0.808,0.784
21,0.808,0.784,0.816,0.768,0.784
22,0.816,0.768,0.768,0.832,0.784
23,0.752,0.792,0.784,0.784,0.784
24,0.832,0.856,0.864,0.832,0.784
25,0.88,0.848,0.856,0.816,0.784
26,0.816,0.808,0.792,0.8,0.784
27,0.832,0.816,0.832,0.784,0.784
28,0.784,0.856,0.84,0.848,0.784
29,0.88,0.84,0.848,0.848,0.784
30,0.824,0.84,0.856,0.824,0.784
31,0.832,0.84,0.832,0.808,0.784
32,0.784,0.8,0.816,0.808,0.784
33,0.816,0.824,0.824,0.824,0.784
34,0.824,0.848,0.832,0.824,0.784
35,0.776,0.776,0.864,0.856,0.784
36,0.856,0.84,0.88,0.88,0.784
37,0.8,0.776,0.784,0.8,0.784
38,0.848,0.864,0.872,0.856,0.784
39,0.816,0.848,0.832,0.8,0.784
40,0.832,0.808,0.832,0.808,0.784
41,0.808,0.816,0.848,0.864,0.784
42,0.84,0.816,0.832,0.848,0.784
43,0.784,0.808,0.792,0.824,0.784
44,0.84,0.8,0.832,0.856,0.784
45,0.84,0.784,0.824,0.84,0.784
46,0.832,0.832,0.872,0.784,0.784
47,0.816,0.8,0.832,0.808,0.784
48,0.88,0.824,0.848,0.872,0.784
49,0.856,0.848,0.848,0.848,0.784
