,AdaBoostRegressor,GradientBoostingRegressor,RandomForestRegressor,ExtraTreesRegressor,SVR
0,0.632,0.696,0.64,0.688,0.608
1,0.728,0.648,0.704,0.744,0.624
2,0.64,0.672,0.648,0.68,0.624
3,0.672,0.68,0.648,0.672,0.632
4,0.712,0.744,0.744,0.72,0.624
5,0.688,0.68,0.688,0.68,0.624
6,0.656,0.72,0.688,0.664,0.624
7,0.672,0.592,0.64,0.672,0.624
8,0.704,0.736,0.68,0.696,0.632
9,0.616,0.728,0.648,0.656,0.624
10,0.688,0.696,0.672,0.68,0.624
11,0.712,0.704,0.68,0.656,0.624
12,0.624,0.616,0.64,0.624,0.624
13,0.68,0.744,0.72,0.712,0.624
14,0.688,0.696,0.68,0.68,0.64
15,0.672,0.664,0.68,0.72,0.616
16,0.6,0.736,0.744,0.688,0.624
17,0.584,0.56,0.648,0.632,0.616
18,0.608,0.696,0.608,0.632,0.624
19,0.728,0.632,0.656,0.704,0.624
20,0.696,0.688,0.696,0.664,0.624
21,0.704,0.64,0.672,0.712,0.624
22,0.688,0.704,0.656,0.664,0.632
23,0.68,0.656,0.664,0.712,0.624
24,0.632,0.648,0.624,0.648,0.624
25,0.68,0.696,0.712,0.72,0.624
26,0.64,0.696,0.68,0.68,0.624
27,0.688,0.664,0.688,0.672,0.624
28,0.68,0.648,0.688,0.656,0.632
29,0.688,0.712,0.712,0.712,0.624
30,0.696,0.704,0.672,0.656,0.624
31,0.64,0.648,0.68,0.672,0.608
32,0.632,0.656,0.592,0.688,0.624
33,0.664,0.672,0.648,0.64,0.632
34,0.656,0.696,0.68,0.736,0.624
35,0.624,0.664,0.72,0.744,0.624
36,0.624,0.632,0.648,0.64,0.624
37,0.632,0.624,0.608,0.664,0.568
38,0.6,0.672,0.688,0.624,0.624
39,0.616,0.624,0.664,0.688,0.624
40,0.696,0.68,0.68,0.656,0.624
41,0.712,0.664,0.68,0.688,0.624
42,0.712,0.656,0.704,0.672,0.624
43,0.568,0.688,0.696,0.632,0.624
44,0.648,0.696,0.656,0.584,0.632
45,0.624,0.648,0.656,0.664,0.624
46,0.712,0.664,0.664,0.712,0.624
47,0.656,0.648,0.64,0.648,0.624
48,0.68,0.68,0.68,0.648,0.632
49,0.672,0.672,0.696,0.656,0.632
